
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.05ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.03ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.03ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:21:35 /scrape-categorize ........................... ~ 0.02ms
  2025-03-06 07:22:09 /api/process-domains ......................... ~ 0.07ms
  2025-03-06 07:22:11 /scrape-categorize ........................... ~ 0.16ms
  2025-03-06 07:31:01 /api/process-domains ......................... ~ 0.08ms
  2025-03-06 07:31:03 /scrape-categorize ........................... ~ 0.07ms

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2025-03-06 07:37:49 /api/process-domains ......................... ~ 0.08ms
  2025-03-06 07:39:01 /api/process-domains ......................... ~ 0.14ms
  2025-03-06 07:39:31 /api/process-domains ......................... ~ 0.07ms
  2025-03-06 07:40:40 /api/process-domains ......................... ~ 0.07ms
